Loading: input/day1/input.txt
65: 6hl5fgcmlpphmzsvbk
44: 4mtczfqfmk
39: threebkjb9
34: sxthree1foursix7four
92: 9one3lmthreetwo
72: 7six83lzqz9skgcnbzzg4two
99: jj94sevenvxrxdfourqtmpmtlnninedkvc
52: prmlkbzrkvzg52
93: lnxxmbsdgqgpjdzzsgxpjninengbgccmblv3
99: nine6lkrsdfdbnsixfive9
66: smphdfsixnceightktq36zs
76: zhmpseven9sixghjfpv
82: eightrmqmb5two
59: 5four4five38twoxbmthcbnine
47: 4vxvskjc83nsevenskgktml
39: three9three64five9
44: four4four
66: sixthreesix8nx8bpkkjntxpsixrhbbc
64: 6fiveeight28fourfour
27: 2s52foureightfour7
74: sevensix5vxfqr8pxncbhgd34
21: 2dssctwonec
88: rzcmjflfn8
97: ninempft7sdlcjzmgtjqpxgv
81: eightfoursix3lbmg1twoneqh
19: xxnvsnmslcrql1lxvqfourqtfjcstgnineqcnkmthl
31: qnx3lsmlpone
49: 49tvjptmdgvbftm
48: 49psqsbvph1cxvzzeightxgfnjqqg
31: three2three21
44: qhnfzrb4
69: 6gmxzdzfngpmxtnine
58: vnvqqbkmp5eightsixbreight
27: 2j78znzkdrjpdnkctwoseven
39: three3nine
63: gpqbqjqhscmzhcsix4xvdqn8threenhvr
56: fivesix12tkljpqdhf3mcsix
13: 1qvlrfcrmjvbr5threells
93: 9skprmslsfourkfxbjjtflfour3
47: jmvns4onek7gvmbs
93: nineone1qmdgdpfrqmvfrfj6three
97: ninexlmtdjmszjjjqdmpmn1two7
92: 9533nineone2hpnfdss
62: six3rgrmtgsninetwof
55: fivelvlnzlqj4zrljkprhsbt3zzzkzvfg5
95: 9nvmkt9six2sbzdkhqbg5
42: four716grlbd4sqx2
75: 73fpdz5
67: 65five897b
31: threeone9rltsqbjl58zxxtktwoneh
58: bxfxd5five8
45: 4fzlpr4nzmfive37fivefive
58: vjptnknvlxhzvfpqxfive5four8
98: 9five1dr6eight5hpkx8
81: eight7fourfourxlrztj64sixone
28: twofourqqprdrkmrbgtqj5oneightb
83: 83three
31: threethreefourtnvddnmsixnjhrfmhmxz62one
82: 8fivesevennine2skseven2nr
44: fourseveneight74hmslvqssdfdsltvcsd
38: 38cxc
18: 1njgbbprzf5fivethreeninezgllfmsxfq8pgntvq
48: mshrhzmgbfourthree8
34: 3oneqgqfgreightfourhsxlcb
71: 7sixfivekronefbtrjszbfr
44: hgsqk4xfjzkkxdz
29: twoeightfq5rhdjcbg9
28: drkclzltwovtblgppbtpzrcnlhhtwofivevcnlvxhbn8
59: pksrcnqps5hzdvnbgkmgfoureight9fx
89: 87ppqndvcmtzrttwothree5nine
42: fourfour1fivetwofive2v
55: fivermshbd75
49: 47mljfm9qjnbzjmq
18: 1cqnrmpmknpzgxp8four8
81: eightzgtjn1
37: three2nfdnfivefourseven
55: zjbbj5mxqnnsxml5
83: 8847rtqjrctqczeight5hqmrbzkd3
17: onev5seventkpvrtq
72: sevensevencfjbscdbvqlc12eightwok
27: 2dpnxxlqthree3fourseven
37: 3xfrnxtds9seven
84: eight7four
69: sixzkjrjf1s49xhk
43: foureight1bsxmfdgpgthree
97: crzjxgfldz9nine7
16: dlrzoneeight3blfxhd6hxklgmzcb
64: six1cdlfcsshkh4eightgndfivefour4
37: threethree2xcsixqfsgxjhgf7
95: cnjkkfcnninezbvrthjrhg2two2qzbrchvxqsfqhk5
91: ninefiveqmgnhrdndclldxtjmqmkseven1lcjlqddmbnn
48: zjqlxpn437fivemftgzsz8tsnnbgmm
61: xllzq6l6nineone1
97: vqkjtjdnine4onefive97h
29: two1ltbdnine
92: ninefive62
85: eight8ninetbmtxtmmnfllnj5
45: four9three3ninefxttjkhtkgvpvcbd5
48: 43six3twoeight
47: fourfnctllc1twosixsix67hlgt
48: fourfive8gkblmrninesixgfkpqkleight
55: 5ninermhkttx18three6five
56: 51one2jvbxs6
63: 6pshzkvn87jz12three
67: 62nineseven
47: bchls4fivelpdldjzmbtwofour28seven
24: 274four
41: cjnjksf4cdpvbjfnine2rone
88: krxeight7mzdbbknqdxpzg4eight
12: 1one3gx3eight2
58: 5nine19eighthvcmzbltkfive88
16: 11one2sixxgvmg
51: p51rzprxgldxcznjjonefdjgfqbndnjn
96: 9jfpvqhpht6
95: 9threeseven5
72: seven62
36: threeonefivetwo91three6
33: three3ksl
66: xhltjp6qt
93: 9qtxtnlhgg8four5nine3cvptllv
28: 267jlqgljqfltwo884oneightrb
18: 141eightnlp
12: rxpxrbvgrcmhzone3one6ppnzmg2
51: five5sixrpzjqgbtgdjlmmprh1
16: onefivefivekglldg5six
32: threeseventhree2
17: one1fgcxgjxrm4seven
72: mstfpfhf7seven3ninezvrxeighttwo
13: oneoneqpgdghxl7three3
29: twodlbrctkhjtwothreefivetwo9
54: fivenine19seven8two4
74: vpjkmfsfrjhhbksevenfivervdm514
42: fourjqtggglnfive32kzcx
39: lcrtvrfkzthree4eighttwo9
81: eightnrvtxpqxjztttqvgmlqhxqj1
23: 2ninepqntclhbk5three
66: thfdxrnbbqc6
72: seven8mjpmvbqxhfhxgjdlltnine2
38: hqbthreezqbhlnthreenlfour8kgzzxjcsgz
63: 6jksppsskp63threenshc
29: two8nine
63: bsixmstxhhfnm3bcckpjp
42: 4fourtwo86tkdkxtwo
46: xc4eightsevenbdseight56
49: fourrnntnp9ck
12: onesixflbfss8two2lxhhjdhxntpjpkds
34: threeone71fourcpcsxld
18: bczssjbdzbonemtbrz7five8ccnnj
41: 42onedkxtrhhm1nkn
63: nf6ssm3
83: eighthltsggc2six383
88: srkppleightmxzmlk38
32: 336tdfthnj2fghhklkg
33: zhpsbbjzzk3mxzzsnvdbs
17: 1nine6fiveninerdng37mfks
43: 4ninefour2kznine3
51: fhsjfivehs1
14: one4qzbgrzlcfjbstfc
22: twohkrbh8zlhkgvfivetwormjq
99: ldfzzjzkxx9
73: 7f95stwo3
58: xcppkmb5ntnrzrqndh1oneightxm
34: threebhvkdbbt26qdbcpgm3four
87: mvxd86sevenfjndplrd
55: 585
81: eightseven51xpxxzqnstzlp1
14: one8eight57lvlbzgclktsix1four
22: 255fourone72
16: onexqrbpcmc1two7done6
46: fournineqbxgklbpqqhs2six
74: dnptsevendbphglkqtwoxgsjckf4
22: 25pskrxeightfourjrtgxonetwofnkj
74: sevenfivesevenqtgqlpjkntdnkxqvf4
18: 1xklsljm8knrm3five5eight
79: sevenfiveseven9bnprxvjl
33: threevzmqxdmgc3
17: fkzvone237lgqtxfcnvddqrdmj
56: 5sixnsix6lqmsqdvvdj
27: 287fdvgbtcq
64: sixsevenninelpzlclr4
57: fivesix7
71: 73drvqt7nsixbzt8one
62: xksbgk6knc58oneninetwo
66: lknvtktz62pccjdnc6
77: 7zxskgs
28: nzdtwoneoneqvmt9pmvnthree8lksxhxv
32: 3hzdrjckdsixthree2
36: hbmbcrgmpkxzjthree8sixz
91: 94979ntmkxbzlcone
36: bsb3threesix
88: jpmtgfcgjpkbx8
32: 3tqnctzbmfivebninetwo
99: 9vrpgcbmdktdprzs
49: fourfivefourone9fourqnsjlbgkv9nine
55: 5vlsbplrtonezqhhzt5bgxkspsf
11: one6dkckh6four2gqztm81
11: dtoneighth871
56: five3mzqgxnbmdbcmnteightsixtc
45: 4three19qfourtzh5n
84: 8threefourppvfbrfp4
18: 19five6nvtgsp8
62: sixtwo9tqpqg1fourtwo
11: 1tkzn
22: twofoursevenjp2zphqlzqmmbskkmxmj
12: one1vgvsgbhtwojmgr
92: nine2phxpfnptp
14: rqqxqslzqjlnfb1four
17: 17gkhhffc3oneeight597
33: jjhclx3
23: 2513
31: 3five91tnbkmxeightxonef
28: gpqnkzt2sevennflfrxdonevgkhjrgeight
18: 1one5eightfour5hckvkpxsleight
41: 41rbglbkmqr
18: one8eight
91: 9threevdbtbrbrgrtcdv1
57: 58ninetwonine8three7
93: nineznvtft63t
27: 2nqhjtvds3ksfjkqxhvseven7
42: 41t279zsgmzmjk12
81: eightthreethree12ninehrsbvftksstwo1
63: fmgcfnxbs6vrmtxxvfdz27three
11: 17qkrps1
32: three4two4rnnslsvxmsbcpvnbpfseveneightwokcn
55: 58ninehxcsnzfxbf6xvgcrfznrldqntsbsjmr5
38: 355knfjsdqjm8
31: htsrn3qdbskfsd211
95: 969five
67: tdbjsvfxv67htbpmfx
66: 6l
89: pdzseightjvjxlhgjhrnz9zzjbcrktjc99
49: fourzqlhcjksixthreejrl9

Sum: 52834

